eps_a	eps_b	eps_c
-1.195e-06	-6.72e-07	-2.036e-06
-1.355e-06	-2.055e-06	-2.345e-06
1.018e-06	-2.438e-06	-2.414e-06
-3.613e-06	-2.865e-06	-1.903e-06
-1.557e-06	-1.343e-06	-2.669e-06
-2.844e-06	-1.679e-06	-1.199e-06
-2.58e-07	-1.743e-06	-2.06e-07
-1.36e-06	1.044e-06	-6.18e-07
-8.94e-07	-1.433e-06	-2.232e-06
-2.183e-06	6.1e-07	-4.185e-06
-8.17e-07	-1.3e-06	-1.864e-06
-3.502e-06	-2.347e-06	-1.095e-06
-1.661e-06	-2.056e-06	-1.253e-06
-3.339e-06	-2.948e-06	-2.722e-06
-1.54e-07	-2.069e-06	-2.698e-06
-8.26e-07	-8.11e-07	-2.503e-06
-3.354e-06	-1.983e-06	-3.564e-06
-1.954e-06	-2.764e-06	-9.74e-07
-1.072e-06	-2.123e-06	-1.186e-06
-9.59e-07	-1.696e-06	-2.202e-06
-2.308e-06	-1.642e-06	-2.272e-06
-1.765e-06	-2.514e-06	-3.309e-06
-2.968e-06	-2.154e-06	-1.59e-06
-1.041e-06	-1.622e-06	-5.67e-07
-1.428e-06	-1.671e-06	-2.178e-06
-1.065e-06	-3.052e-06	-2.679e-06
-1.632e-06	-1.845e-06	-1.993e-06
-2.776e-06	-1.475e-06	-8.51e-07
-1.785e-06	-2.484e-06	8e-08
-1e-06	-6.57e-07	-2.325e-06
-2.269e-06	-2.112e-06	-1.517e-06
-1.785e-06	-2.662e-06	-2.484e-06
-6.37e-07	-2.235e-06	-1.73e-06
-2.599e-06	-1.864e-06	-2.185e-06
-2.458e-06	-2.894e-06	-3.192e-06
-1.888e-06	-4.115e-06	-5.41e-07
-1.525e-06	-3.533e-06	-1.989e-06
-2.693e-06	-1.774e-06	-3.98e-07
-2.09e-07	-2.161e-06	-1.602e-06
-2.432e-06	-2.248e-06	-2.979e-06
-2.739e-06	-4.183e-06	-2.098e-06
-3.43e-06	-4.172e-06	-3.011e-06
-1.936e-06	-4.422e-06	-2.002e-06
